# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 183K of event 'cycles:ppp'
# Event count (approx.): 186916144949
#
# Overhead  Command  Shared Object            Symbol                                                                                                                                            
# ........  .......  .......................  ..................................................................................................................................................
#
    62.03%  gmx      libgromacs.so.5.0.0      [.] nbnxn_make_pairlist_part<NbnxnPairlistCpu>
    27.41%  gmx      libgromacs.so.5.0.0      [.] nbnxm_kernel_ElecRF_VdwLJCombGeom_VF_4xm
     1.26%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::sort_atoms
     1.19%  gmx      libgromacs.so.5.0.0      [.] get_cell_range<1>
     0.83%  gmx      libgromacs.so.5.0.0      [.] get_cell_range<0>
     0.77%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::fillCell
     0.64%  gmx      libgromacs.so.5.0.0      [.] gmx::settle_proj
     0.56%  gmx      libgromacs.so.5.0.0      [.] pbc_dx_aiuc
     0.35%  gmx      libgromacs.so.5.0.0      [.] gmx::settleTemplate<gmx::SimdFloat, gmx::SimdFBool, 8, float const*, false, false>
     0.25%  gmx      libgromacs.so.5.0.0      [.] calc_x_times_f
     0.25%  gmx      [kernel.kallsyms]        [k] do_syscall_64
     0.25%  gmx      libgromacs.so.5.0.0      [.] put_atoms_in_box
     0.24%  gmx      libgromacs.so.5.0.0      [.] nbnxn_atomdata_set
     0.24%  gmx      libgromacs.so.5.0.0      [.] std::vector<nbnxn_cj_t, std::allocator<nbnxn_cj_t> >::_M_default_append
     0.21%  gmx      libgromacs.so.5.0.0      [.] copy_rvec_to_nbat_real
     0.21%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::calcColumnIndices
     0.20%  gmx      libgromacs.so.5.0.0      [.] evaluate_single
     0.18%  gmx      libm-2.27.so             [.] __atanf
     0.18%  gmx      libgromacs.so.5.0.0      [.] do_em_step
     0.17%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::setCellIndices
     0.16%  gmx      [kernel.kallsyms]        [k] __entry_trampoline_start
     0.15%  gmx      [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.15%  gmx      libgromacs.so.5.0.0      [.] reduceForces
     0.13%  gmx      libgromacs.so.5.0.0      [.] do_dih_fup<(BondedKernelFlavor)2>
     0.13%  gmx      libgromacs.so.5.0.0      [.] (anonymous namespace)::angles<(BondedKernelFlavor)2>
     0.11%  gmx      libm-2.27.so             [.] __acosf_finite
     0.10%  gmx      libm-2.27.so             [.] __sincosf_fma
     0.10%  gmx      libgromacs.so.5.0.0      [.] do_force
     0.10%  gmx      libgromacs.so.5.0.0      [.] (anonymous namespace)::rbdihs<(BondedKernelFlavor)2>
     0.10%  gmx      libgromacs.so.5.0.0      [.] get_f_norm_max
     0.09%  gmx      libgromacs.so.5.0.0      [.] dih_angle
     0.08%  gmx      libgromacs.so.5.0.0      [.] do_pairs
     0.08%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::sortColumnsCpuGeometry
     0.07%  gmx      libgromacs.so.5.0.0      [.] bond_angle
     0.04%  gmx      [kernel.kallsyms]        [k] pick_next_task_fair
     0.04%  gmx      [kernel.kallsyms]        [k] update_curr
     0.04%  gmx      libc-2.27.so             [.] __memset_avx2_erms
     0.04%  gmx      libgromacs.so.5.0.0      [.] (anonymous namespace)::bonds<(BondedKernelFlavor)2>
     0.04%  gmx      libc-2.27.so             [.] __sched_yield
     0.03%  gmx      [kernel.kallsyms]        [k] update_min_vruntime
     0.03%  gmx      libgromacs.so.5.0.0      [.] pbc_dx_aiuc@plt
     0.03%  gmx      [kernel.kallsyms]        [k] __sched_text_start
     0.03%  gmx      libc-2.27.so             [.] printf_positional
     0.03%  gmx      libm-2.27.so             [.] __atan2f_finite
     0.03%  gmx      libc-2.27.so             [.] __GI___printf_fp_l
     0.02%  gmx      [kernel.kallsyms]        [k] _raw_spin_lock
     0.02%  gmx      [kernel.kallsyms]        [k] pick_next_entity
     0.02%  gmx      [kernel.kallsyms]        [k] cpuacct_charge
     0.02%  gmx      libm-2.27.so             [.] __atan2f
     0.02%  gmx      [kernel.kallsyms]        [k] native_sched_clock
     0.02%  gmx      [kernel.kallsyms]        [k] yield_task_fair
     0.01%  gmx      [kernel.kallsyms]        [k] __calc_delta
     0.01%  gmx      libgromacs.so.5.0.0      [.] std::vector<nbnxn_cj_t, std::allocator<nbnxn_cj_t> >::_M_default_append@plt
     0.01%  gmx      [kernel.kallsyms]        [k] entry_SYSCALL_64_after_hwframe
     0.01%  gmx      [kernel.kallsyms]        [k] sys_sched_yield
     0.01%  gmx      [kernel.kallsyms]        [k] entry_SYSCALL_64_stage2
     0.01%  gmx      libc-2.27.so             [.] __memset_avx2_unaligned_erms
     0.01%  gmx      libc-2.27.so             [.] __parse_one_specmb
     0.01%  gmx      [kernel.kallsyms]        [k] update_blocked_averages
     0.01%  gmx      libpthread-2.27.so       [.] __pthread_mutex_unlock
     0.01%  gmx      [kernel.kallsyms]        [k] prepare_exit_to_usermode
     0.01%  gmx      libpthread-2.27.so       [.] __pthread_mutex_lock
     0.01%  gmx      libc-2.27.so             [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.01%  gmx      libgromacs.so.5.0.0      [.] (anonymous namespace)::pbc_rvec_sub
     0.01%  gmx      libc-2.27.so             [.] __fprintf_chk
     0.01%  gmx      libgromacs.so.5.0.0      [.] Nbnxm::Grid::fillCell@plt
     0.01%  gmx      [kernel.kallsyms]        [k] clear_buddies
     0.01%  gmx      [kernel.kallsyms]        [k] check_cfs_rq_runtime
     0.01%  gmx      libgromacs.so.5.0.0      [.] calc_listed
     0.01%  gmx      libgromacs.so.5.0.0      [.] (anonymous namespace)::pdihs<(BondedKernelFlavor)2>
     0.01%  gmx      libc-2.27.so             [.] _IO_fwrite
     0.01%  gmx      libgromacs.so.5.0.0      [.] gmx::InMemoryDeserializer::doReal
     0.01%  gmx      libopenblasp-r0.2.20.so  [.] 0x0000000000304aa6
     0.01%  gmx      [kernel.kallsyms]        [k] __cgroup_account_cputime
     0.01%  gmx      [kernel.kallsyms]        [k] update_rq_clock
     0.00%  gmx      [kernel.kallsyms]        [k] native_write_msr
