# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles:ppp'
# Event count (approx.): 477625636818
#
# Overhead  Command  Shared Object                         Symbol                                                                                                                  
# ........  .......  ....................................  ........................................................................................................................
#
    37.82%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018f20
    34.02%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190c8
    11.29%  gmx      libgromacs.so.5.0.0                   [.] PairlistSet::constructPairlists
     1.75%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018f22
     1.50%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::Grid::sortColumnsGpuGeometry
     1.42%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190ca
     1.07%  gmx      libgromacs.so.5.0.0                   [.] combine_nblists
     0.85%  gmx      libgromacs.so.5.0.0                   [.] pbc_dx_aiuc
     0.82%  gmx      libgromacs.so.5.0.0                   [.] gmx::settle_proj
     0.77%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::sort_atoms
     0.62%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018f26
     0.59%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018f2b
     0.55%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190ce
     0.54%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190d3
     0.49%  gmx      libgromacs.so.5.0.0                   [.] clear_rvecs_omp
     0.41%  gmx      libgromacs.so.5.0.0                   [.] reduceForces
     0.33%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018f2f
     0.32%  gmx      [kernel.kallsyms]                     [k] do_syscall_64
     0.27%  gmx      libgromacs.so.5.0.0                   [.] put_atoms_in_box
     0.27%  gmx      libgromacs.so.5.0.0                   [.] do_em_step
     0.27%  gmx      libgomp.so.1.0.0                      [.] 0x00000000000190d8
     0.25%  gmx      libgromacs.so.5.0.0                   [.] gmx::settleTemplate<gmx::SimdFloat, gmx::SimdFBool, 8, float const*, false, false>
     0.20%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::Grid::fillCell
     0.19%  gmx      libgromacs.so.5.0.0                   [.] calc_x_times_f
     0.17%  gmx      libgromacs.so.5.0.0                   [.] std::vector<nbnxn_excl_t, gmx::Allocator<nbnxn_excl_t, gmx::HostAllocationPolicy> >::_M_default_append
     0.17%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::Grid::calcColumnIndices
     0.14%  gmx      libgromacs.so.5.0.0                   [.] std::vector<nbnxn_cj4_t, gmx::Allocator<nbnxn_cj4_t, gmx::HostAllocationPolicy> >::_M_default_append
     0.14%  gmx      [kernel.kallsyms]                     [k] __entry_trampoline_start
     0.14%  gmx      [kernel.kallsyms]                     [k] syscall_return_via_sysret
     0.13%  gmx      libgromacs.so.5.0.0                   [.] nbnxn_atomdata_set
     0.12%  gmx      libgromacs.so.5.0.0                   [.] copy_rvec_to_nbat_real
     0.11%  gmx      libgromacs.so.5.0.0                   [.] evaluate_single
     0.11%  gmx      libgromacs.so.5.0.0                   [.] do_dih_fup<(BondedKernelFlavor)2>
     0.08%  gmx      libgromacs.so.5.0.0                   [.] do_pairs
     0.08%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::Grid::setCellIndices
     0.08%  gmx      libm-2.27.so                          [.] __atanf
     0.07%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87d4
     0.07%  gmx      libgromacs.so.5.0.0                   [.] (anonymous namespace)::angles<(BondedKernelFlavor)2>
     0.06%  gmx      libgromacs.so.5.0.0                   [.] dih_angle
     0.06%  gmx      libgromacs.so.5.0.0                   [.] bond_angle
     0.06%  gmx      libgromacs.so.5.0.0                   [.] calcBondedForces
     0.05%  gmx      libgromacs.so.5.0.0                   [.] (anonymous namespace)::rbdihs<(BondedKernelFlavor)2>
     0.05%  gmx      libgromacs.so.5.0.0                   [.] get_f_norm_max
     0.05%  gmx      libm-2.27.so                          [.] __sincosf_fma
     0.05%  gmx      libgromacs.so.5.0.0                   [.] get_cell_range<1>
     0.05%  gmx      libm-2.27.so                          [.] __acosf_finite
     0.04%  gmx      libcuda.so.390.116                    [.] 0x00000000002708a0
     0.04%  gmx      [kernel.kallsyms]                     [k] update_blocked_averages
     0.04%  gmx      libgromacs.so.5.0.0                   [.] (anonymous namespace)::bonds<(BondedKernelFlavor)2>
     0.03%  gmx      libgromacs.so.5.0.0                   [.] get_cell_range<0>
     0.02%  gmx      [kernel.kallsyms]                     [k] __cpa_flush_all
     0.02%  gmx      libcuda.so.390.116                    [.] 0x00000000001e3182
     0.02%  gmx      [kernel.kallsyms]                     [k] pick_next_task_fair
     0.02%  gmx      [kernel.kallsyms]                     [k] update_curr
     0.02%  gmx      [kernel.kallsyms]                     [k] pci_conf1_read
     0.02%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6eac
     0.02%  gmx      libgromacs.so.5.0.0                   [.] pbc_dx_aiuc@plt
     0.02%  gmx      libcuda.so.390.116                    [.] 0x00000000001e3193
     0.02%  gmx      libgromacs.so.5.0.0                   [.] std::vector<nbnxn_cj4_t, gmx::Allocator<nbnxn_cj4_t, gmx::HostAllocationPolicy> >::_M_default_append@plt
     0.02%  gmx      [kernel.kallsyms]                     [k] read_tsc
     0.02%  gmx      [vdso]                                [.] __vdso_clock_gettime
     0.02%  gmx      libm-2.27.so                          [.] __atan2f_finite
     0.02%  gmx      [kernel.kallsyms]                     [k] __sched_text_start
     0.01%  gmx      [kernel.kallsyms]                     [k] prepare_exit_to_usermode
     0.01%  gmx      libgromacs.so.5.0.0                   [.] (anonymous namespace)::reduce_thread_forces
     0.01%  gmx      [kernel.kallsyms]                     [k] smp_call_function_many
     0.01%  gmx      [kernel.kallsyms]                     [k] entry_SYSCALL_64_after_hwframe
     0.01%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87d0
     0.01%  gmx      [kernel.kallsyms]                     [k] getrawmonotonic64
     0.01%  gmx      [kernel.kallsyms]                     [k] __calc_delta
     0.01%  gmx      libc-2.27.so                          [.] __sched_yield
     0.01%  gmx      [kernel.kallsyms]                     [k] _raw_spin_lock
     0.01%  gmx      [kernel.kallsyms]                     [k] copy_user_generic_unrolled
     0.01%  gmx      libpthread-2.27.so                    [.] __pthread_mutex_lock
     0.01%  gmx      [kernel.kallsyms]                     [k] _nv029793rm
     0.01%  gmx      [kernel.kallsyms]                     [k] sys_clock_gettime
     0.01%  gmx      [kernel.kallsyms]                     [k] update_min_vruntime
     0.01%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e96
     0.01%  gmx      [kernel.kallsyms]                     [k] entry_SYSCALL_64_stage2
     0.01%  gmx      libc-2.27.so                          [.] printf_positional
     0.01%  gmx      [kernel.kallsyms]                     [k] update_load_avg
     0.01%  gmx      libc-2.27.so                          [.] __GI___printf_fp_l
     0.01%  gmx      [kernel.kallsyms]                     [k] posix_get_monotonic_raw
     0.01%  gmx      libpthread-2.27.so                    [.] __pthread_mutex_unlock
     0.01%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87d6
     0.01%  gmx      [kernel.kallsyms]                     [k] rcu_check_callbacks
     0.01%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e99
     0.01%  gmx      [kernel.kallsyms]                     [k] native_sched_clock
     0.01%  gmx      [kernel.kallsyms]                     [k] yield_task_fair
     0.01%  gmx      [kernel.kallsyms]                     [k] cpuacct_charge
     0.01%  gmx      libgromacs.so.5.0.0                   [.] (anonymous namespace)::pdihs<(BondedKernelFlavor)2>
     0.01%  gmx      [kernel.kallsyms]                     [k] clear_page_erms
     0.01%  gmx      [kernel.kallsyms]                     [k] pick_next_entity
     0.01%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87dc
     0.01%  gmx      libgromacs.so.5.0.0                   [.] (anonymous namespace)::pbc_rvec_sub
     0.01%  gmx      [kernel.kallsyms]                     [k] swapgs_restore_regs_and_return_to_usermode
     0.01%  gmx      libm-2.27.so                          [.] __atan2f
     0.01%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6fb0
     0.01%  gmx      libc-2.27.so                          [.] __parse_one_specmb
     0.01%  gmx      [kernel.kallsyms]                     [k] __indirect_thunk_start
     0.01%  gmx      [kernel.kallsyms]                     [k] native_write_msr
     0.01%  gmx      [kernel.kallsyms]                     [k] native_irq_return_iret
     0.01%  gmx      [kernel.kallsyms]                     [k] sys_sched_yield
     0.00%  gmx      [kernel.kallsyms]                     [k] _raw_spin_lock_irqsave
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f80
     0.00%  gmx      [kernel.kallsyms]                     [k] perf_event_task_tick
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f5c
     0.00%  gmx      libgromacs.so.5.0.0                   [.] sort_sci
     0.00%  gmx      libgromacs.so.5.0.0                   [.] std::vector<nbnxn_excl_t, gmx::Allocator<nbnxn_excl_t, gmx::HostAllocationPolicy> >::_M_default_append@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6fa2
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000018feb
     0.00%  gmx      [unknown]                             [.] 0000000000000000
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87f4
     0.00%  gmx      [kernel.kallsyms]                     [k] copy_user_enhanced_fast_string
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a87df
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002a8800
     0.00%  gmx      libc-2.27.so                          [.] __memset_avx2_unaligned_erms
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6fc6
     0.00%  gmx      libopenblasp-r0.2.20.so               [.] 0x0000000000304aa6
     0.00%  gmx      libc-2.27.so                          [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.00%  gmx      [kernel.kallsyms]                     [k] account_user_time
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f17e3
     0.00%  gmx      libc-2.27.so                          [.] __memset_avx2_erms
     0.00%  gmx      [kernel.kallsyms]                     [k] get_page_from_freelist
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6fa6
     0.00%  gmx      [kernel.kallsyms]                     [k] put_timespec64
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6edf
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::Grid::fillCell@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] do_force
     0.00%  gmx      [kernel.kallsyms]                     [k] nv_alloc_system_pages
     0.00%  gmx      [kernel.kallsyms]                     [k] irq_exit
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6eb0
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f86
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e2f
     0.00%  gmx      [kernel.kallsyms]                     [k] decay_load
     0.00%  gmx      [kernel.kallsyms]                     [k] check_cfs_rq_runtime
     0.00%  gmx      [kernel.kallsyms]                     [k] hrtimer_interrupt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e80
     0.00%  gmx      [kernel.kallsyms]                     [k] __hrtimer_run_queues
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ed2
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e0c0
     0.00%  gmx      libgromacs.so.5.0.0                   [.] bond_angle@plt
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000016948
     0.00%  gmx      libc-2.27.so                          [.] __memmove_sse2_unaligned_erms
     0.00%  gmx      [kernel.kallsyms]                     [k] run_timer_softirq
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6f8a
     0.00%  gmx      [kernel.kallsyms]                     [k] schedule
     0.00%  gmx      libc-2.27.so                          [.] vfprintf
     0.00%  gmx      [kernel.kallsyms]                     [k] __cgroup_account_cputime
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8f3b
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6ec0
     0.00%  gmx      libc-2.27.so                          [.] _IO_fwrite
     0.00%  gmx      [kernel.kallsyms]                     [k] vm_insert_page
     0.00%  gmx      libc-2.27.so                          [.] __fprintf_chk
     0.00%  gmx      [kernel.kallsyms]                     [k] xhci_irq
     0.00%  gmx      libc-2.27.so                          [.] __strchrnul_avx2
     0.00%  gmx      libm-2.27.so                          [.] __acosf
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002e6e92
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8edf
     0.00%  gmx      libgomp.so.1.0.0                      [.] 0x0000000000019216
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e37
     0.00%  gmx      [kernel.kallsyms]                     [k] find_next_iomem_res
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002708af
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8e2c
     0.00%  gmx      [kernel.kallsyms]                     [k] try_to_wake_up
     0.00%  gmx      [kernel.kallsyms]                     [k] native_apic_msr_eoi_write
     0.00%  gmx      libc-2.27.so                          [.] _itoa_word
     0.00%  gmx      [kernel.kallsyms]                     [k] timerqueue_add
